City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Kieta,PG,2021-06-07 00:11:59,-6.2167,155.6333,83.7,74,76,5.48
210,Seoul,KR,2021-06-07 00:01:30,37.5683,126.9778,75.61,61,10,6.06
211,Road Town,VG,2021-06-07 00:11:59,18.4167,-64.6167,80.69,78,40,11.5
212,Danjiangkou,CN,2021-06-07 00:12:00,32.5428,111.5086,83.23,65,93,1.12
213,Buala,SB,2021-06-07 00:07:16,-8.145,159.5921,84.67,72,43,9.44
214,Bandarbeyla,SO,2021-06-07 00:12:00,9.4942,50.8122,78.69,86,4,24.94
215,Menongue,AO,2021-06-07 00:09:07,-14.6585,17.691,50.45,60,65,5.32
216,Kaabong,UG,2021-06-07 00:12:01,3.4836,34.1492,64.47,61,26,4.88
217,Hilo,US,2021-06-07 00:12:01,19.7297,-155.09,84.27,70,90,10.36
218,Pillaro,EC,2021-06-07 00:12:02,-1.1667,-78.5333,50.92,95,99,3.51
219,Parrita,CR,2021-06-07 00:12:02,9.5201,-84.3225,84.52,84,48,4.36
220,Bozdar,PK,2021-06-07 00:12:03,27.1828,68.636,86.79,58,1,14.0
221,Hay River,CA,2021-06-07 00:12:03,60.8156,-115.7999,48.96,53,52,6.55
222,Quatre Cocos,MU,2021-06-07 00:12:04,-20.2078,57.7625,72.09,83,36,14.61
223,Bannu,PK,2021-06-07 00:12:04,32.9854,70.6027,92.26,29,0,3.65
224,Lewiston,US,2021-06-07 00:07:32,44.1003,-70.2148,84.83,68,75,6.91
225,Saint Anthony,US,2021-06-07 00:07:08,45.0205,-93.218,91.72,38,1,5.01
226,San Patricio,US,2021-06-07 00:12:05,28.017,-97.5169,88.52,79,19,13.13
227,Chegutu,ZW,2021-06-07 00:12:05,-18.1302,30.1407,48.49,82,82,7.83
228,Ribeira Grande,PT,2021-06-07 00:12:05,38.5167,-28.7,64.99,88,100,8.39
229,Pochutla,MX,2021-06-07 00:09:43,15.7432,-96.4661,77.83,82,95,5.95
230,Baherden,TM,2021-06-07 00:12:06,38.4362,57.4316,76.28,47,0,7.87
231,Benguela,AO,2021-06-07 00:12:06,-12.5763,13.4055,73.29,70,23,1.48
232,Fairbanks,US,2021-06-07 00:02:56,64.8378,-147.7164,62.1,56,75,6.91
