City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Bonthe,SL,2021-06-06 18:31:37,7.5264,-12.505,81.0,83,98,9.01
192,Lata,PT,2021-06-06 18:31:37,40.1629,-8.3327,78.04,58,0,5.35
193,Quatre Cocos,MU,2021-06-06 18:31:37,-20.2078,57.7625,75.31,82,23,10.09
194,Grand Gaube,MU,2021-06-06 18:31:38,-20.0064,57.6608,72.0,85,6,3.0
195,Buraydah,SA,2021-06-06 18:30:09,26.326,43.975,100.85,9,4,12.01
196,Carnarvon,AU,2021-06-06 18:31:38,-24.8667,113.6333,60.87,77,100,5.75
197,Kavieng,PG,2021-06-06 18:28:05,-2.5744,150.7967,81.27,76,92,4.59
198,Balabac,PH,2021-06-06 18:31:39,7.9868,117.0645,82.26,81,100,8.81
199,Padang,ID,2021-06-06 18:29:04,-0.9492,100.3543,76.41,82,84,4.21
200,Puerto Escondido,MX,2021-06-06 18:29:08,15.85,-97.0667,90.43,66,40,5.75
201,Mutis,CO,2021-06-06 18:31:39,6.2262,-77.4044,82.22,80,98,5.14
202,Pimentel,PE,2021-06-06 18:31:40,-6.8367,-79.9342,70.09,81,90,5.99
203,Lake City,US,2021-06-06 18:31:40,30.1897,-82.6393,92.95,30,100,8.16
204,Asfi,MA,2021-06-06 18:31:40,32.2994,-9.2372,71.31,77,0,23.58
205,Rio Grande,BR,2021-06-06 18:31:41,-32.035,-52.0986,62.71,62,100,11.97
206,Disna,BY,2021-06-06 18:31:41,55.568,28.1971,62.26,75,95,6.44
207,Port Macquarie,AU,2021-06-06 18:29:11,-31.4333,152.9167,47.37,70,5,5.53
208,Beringovskiy,RU,2021-06-06 18:31:42,63.05,179.3167,34.74,99,100,4.21
209,Stornoway,GB,2021-06-06 18:31:42,58.2093,-6.3865,55.36,71,75,10.36
210,Carnot,CF,2021-06-06 18:31:43,4.9409,15.8665,70.07,96,87,1.63
211,Flinders,AU,2021-06-06 18:31:43,-34.5833,150.8552,53.06,84,63,1.01
212,Ixtapa,MX,2021-06-06 18:31:44,20.7,-105.2,87.8,55,40,8.05
213,Madanapalle,IN,2021-06-06 18:31:44,13.55,78.5,79.7,65,100,4.85
214,Dwarka,IN,2021-06-06 18:31:45,22.2394,68.9678,85.17,70,0,13.02
215,Mountain Home,US,2021-06-06 18:31:45,43.133,-115.6912,64.4,25,20,8.05
216,Souillac,MU,2021-06-06 18:31:45,-20.5167,57.5167,75.58,78,20,9.31
217,Qandala,SO,2021-06-06 18:31:46,11.472,49.8728,91.83,48,0,3.33
218,Axim,GH,2021-06-06 18:31:06,4.8699,-2.2405,80.13,78,7,9.28
219,Bada,RU,2021-06-06 18:31:46,51.392,109.8717,43.52,94,100,4.23
220,Grand Forks,US,2021-06-06 18:31:47,47.9417,-97.4337,84.13,38,20,20.71
221,Itoman,JP,2021-06-06 18:31:47,26.1247,127.6694,75.97,94,75,5.75
222,Bitung,ID,2021-06-06 18:31:48,1.4451,125.1824,76.05,85,100,7.85
223,Horadiz,AZ,2021-06-06 18:31:48,39.4488,47.3353,68.0,77,40,11.5
224,Soyaux,FR,2021-06-06 18:31:49,45.65,0.2,73.99,49,0,6.91
225,Muisne,EC,2021-06-06 18:31:49,0.6,-80.0333,84.31,82,98,12.75
226,Nouakchott,MR,2021-06-06 18:31:49,18.0858,-15.9785,80.46,51,3,21.77
227,Roald,NO,2021-06-06 18:30:03,62.5833,6.1333,59.92,88,75,6.91
228,Gambiran,ID,2021-06-06 18:31:50,-6.7988,111.4951,77.43,83,85,3.44
229,Pevek,RU,2021-06-06 18:27:56,69.7008,170.3133,46.83,73,29,12.73
230,Farim,GW,2021-06-06 18:31:51,12.4839,-15.2217,97.09,42,1,12.73
231,Port Elizabeth,ZA,2021-06-06 18:28:16,-33.918,25.5701,64.09,76,0,3.44
232,Richards Bay,ZA,2021-06-06 18:29:42,-28.783,32.0377,60.55,74,0,7.76
233,Praia Da Vitoria,PT,2021-06-06 18:31:51,38.7333,-27.0667,70.75,78,40,5.12
234,Emerald,AU,2021-06-06 18:31:52,-23.5333,148.1667,46.99,61,0,5.75
235,Kudahuvadhoo,MV,2021-06-06 18:31:52,2.6708,72.8944,83.08,75,100,13.91
236,Saint-Georges,GD,2021-06-06 18:31:53,12.0564,-61.7485,84.2,74,40,21.85
237,Cortland,US,2021-06-06 18:31:53,42.6001,-76.083,88.65,50,40,8.61
238,Roebourne,AU,2021-06-06 18:31:54,-20.7833,117.1333,75.16,62,100,6.64
239,Stupino,RU,2021-06-06 18:31:54,54.9008,38.0708,62.35,95,60,6.15
240,Chuy,UY,2021-06-06 18:29:02,-33.6971,-53.4616,57.25,65,100,6.8
241,San Patricio,US,2021-06-06 18:28:03,28.017,-97.5169,91.81,64,3,17.58
242,Katsuura,JP,2021-06-06 18:31:55,35.1333,140.3,70.11,89,99,3.44
243,Flin Flon,CA,2021-06-06 18:31:56,54.7682,-101.865,57.2,94,90,5.75
244,Pucara,PE,2021-06-06 18:31:56,-15.9803,-71.4606,48.33,18,1,11.97
245,Saint Anthony,US,2021-06-06 18:31:57,45.0205,-93.218,89.83,42,1,7.0
246,Cap Malheureux,MU,2021-06-06 18:31:57,-19.9842,57.6142,75.69,85,6,3.0
247,Hobyo,SO,2021-06-06 18:31:57,5.3505,48.5268,79.12,86,51,26.66
248,Zyryanka,RU,2021-06-06 18:31:58,65.75,150.85,47.28,69,100,14.36
249,Saskylakh,RU,2021-06-06 18:31:59,71.9167,114.0833,35.6,71,53,4.45
250,Pierre,US,2021-06-06 18:30:04,44.3683,-100.351,88.99,34,1,24.16
251,Marienburg,PL,2021-06-06 18:31:59,54.0359,19.0266,65.86,77,100,5.3
252,Westport,US,2021-06-06 18:30:58,41.1415,-73.3579,98.28,43,1,1.01
253,Mpongwe,ZM,2021-06-06 18:31:59,-13.5091,28.155,59.23,55,61,8.88
